Modelo,Categoria,RPM,TPM,RPD,Gráficos
Gemini 3 Flash,Modelos de saída de texto,7 / 5,8.97K / 250K,7 / 20,
Gemini 2.5 Flash,Modelos de saída de texto,0 / 5,0 / 250K,0 / 20,
Gemini 2.5 Pro,Modelos de saída de texto,0 / 0,0 / 0,0 / 0,
Gemini 2 Flash,Modelos de saída de texto,0 / 0,0 / 0,0 / 0,
Gemini 2 Flash Lite,Modelos de saída de texto,0 / 0,0 / 0,0 / 0,
Gemini 2.5 Flash TTS,Modelos generativos multimodais,0 / 3,0 / 10K,0 / 10,
Gemini 2.5 Pro TTS,Modelos generativos multimodais,0 / 0,0 / 0,0 / 0,
Gemma 3 1B,Outros modelos,0 / 30,0 / 15K,0 / 14.4K,
Gemma 3 4B,Outros modelos,0 / 30,0 / 15K,0 / 14.4K,
Gemma 3 12B,Outros modelos,0 / 30,0 / 15K,0 / 14.4K,
Gemma 3 27B,Outros modelos,0 / 30,0 / 15K,0 / 14.4K,
Imagen 4 Generate,Modelos generativos multimodais,-,-,0 / 25,
Imagen 4 Ultra Generate,Modelos generativos multimodais,-,-,0 / 25,
Imagen 4 Fast Generate,Modelos generativos multimodais,-,-,0 / 25,
Gemma 3 2B,Outros modelos,0 / 30,0 / 15K,0 / 14.4K,
Gemma 4 26B,Outros modelos,0 / 15,0 / Ilimitado,0 / 1.5K,
Gemma 4 31B,Outros modelos,0 / 15,0 / Ilimitado,0 / 1.5K,
Gemini Embedding 1,Outros modelos,0 / 100,0 / 30K,0 / 1K,
Gemini 3.1 Flash Lite,Modelos de saída de texto,0 / 15,0 / 250K,0 / 500,
Gemini 3.1 Pro,Modelos de saída de texto,0 / 0,0 / 0,0 / 0,
Gemini 2.5 Flash Lite,Modelos de saída de texto,0 / 10,0 / 250K,0 / 20,
Nano Banana (Gemini 2.5 Flash Preview Image),Modelos generativos multimodais,0 / 0,0 / 0,0 / 0,
Nano Banana Pro (Gemini 3 Pro Image),Modelos generativos multimodais,0 / 0,0 / 0,0 / 0,
Nano Banana 2 (Gemini 3.1 Flash Image),Modelos generativos multimodais,0 / 0,0 / 0,0 / 0,
Lyria 3 Clip,Modelos generativos multimodais,0 / 0,0 / 0,0 / 0,
Lyria 3 Pro,Modelos generativos multimodais,0 / 0,0 / 0,0 / 0,
Veo 3 Generateinfo,Modelos generativos multimodais,0 / 0,-,0 / 0,
Veo 3 Fast Generateinfo,Modelos generativos multimodais,0 / 0,-,0 / 0,
Veo 3 Lite Generateinfo,Modelos generativos multimodais,0 / 0,-,0 / 0,
Gemini Robotics ER 1.5 Preview,Outros modelos,0 / 10,0 / 250K,0 / 20,
Gemini Robotics ER 1.6 Preview,Outros modelos,0 / 5,0 / 250K,0 / 20,
Computer Use Preview,Outros modelos,0 / 0,0 / 0,0 / 0,
Gemini Embedding 2,Outros modelos,0 / 100,0 / 30K,0 / 1K,
Deep Research Pro Preview,Agentes,0 / 0,0 / 0,0 / 0,
Gemini 2.5 Flash Native Audio Dialog,API Live,0 / Ilimitado,0 / 1M,0 / Ilimitado,
Gemini 3 Flash Live,API Live,0 / Ilimitado,0 / 65K,0 / Ilimitado,
,,,,,
Ferramentas,Categoria,RPM,TPM,RPD,Gráficos
Gemini 2.5 Flash,Fundamentação do mapa,-,-,0 / 500,
Gemini 2.5 Pro,Fundamentação do mapa,-,-,0 / 0,
Gemini 3 Flash,Fundamentação do mapa,-,-,0 / 0,
Gemini 3.1 Flash Lite,Fundamentação do mapa,-,-,0 / 500,
Gemini 3.1 Pro,Fundamentação do mapa,-,-,0 / 0,
Gemini 2.5 Flash Lite,Fundamentação do mapa,-,-,0 / 500,
Gemini Robotics ER 1.6 Preview,Fundamentação do mapa,-,-,0 / 500,
Computer Use Preview,Fundamentação do mapa,-,-,0 / 500,
Deep Research Pro Preview,Fundamentação do mapa,-,-,0 / 500,
Gemini 2,Pesquisar conteúdo de embasamento,-,-,0 / 1.5K,
Gemini 2.5info,Pesquisar conteúdo de embasamento,-,-,0 / 1.5K,
Gemini 3info,Pesquisar conteúdo de embasamento,-,-,0 / 0,
Defaultinfo,Pesquisar conteúdo de embasamento,-,-,0 / 1.5K,
